# LSST Y10 lens curves; original Fisher._makeLensPZ convention
# Reference: https://arxiv.org/abs/2507.01374 Figure 3
# Source: fisherA2Z/data/nzdist.txt, dneff column
# Original 40-point parent integration; dense Gaussian evaluation and normalization
# Raw n_i(z), NOT unit-integral PDFs and NOT galaxies/arcmin^2/z
# Z_MID	BIN1	BIN2	BIN3	BIN4	BIN5	BIN6	BIN7	BIN8	BIN9	BIN10
2.100000000000e-02	2.483029936368e-08	2.690140366214e-14	5.009686990355e-21	5.169763299190e-28	5.422210762036e-35	7.620163121483e-42	1.489525544709e-48	7.560800839583e-55	5.760792457419e-61	9.535365634991e-67
2.200000000000e-02	2.921123936185e-08	3.286646425717e-14	6.282848305979e-21	6.601178702230e-28	7.007689599079e-35	9.925489710962e-42	1.949220048149e-48	9.917390662027e-55	7.560997529187e-61	1.250671026972e-66
2.300000000000e-02	3.434070285003e-08	4.012973174791e-14	7.875407674496e-21	8.425030222784e-28	9.053074076416e-35	1.292355667279e-41	2.549956608268e-48	1.300469408860e-54	9.921129959712e-61	1.640002220174e-66
2.400000000000e-02	4.034219684657e-08	4.896826923810e-14	9.866429173934e-21	1.074782513913e-27	1.169068735228e-34	1.682110774512e-41	3.334753351597e-48	1.704809893390e-54	1.301452604074e-60	2.150014512624e-66
2.500000000000e-02	4.735884226542e-08	5.971706830056e-14	1.235428024247e-20	1.370467887451e-27	1.509060923711e-34	2.188615983042e-41	4.359670349317e-48	2.234214521178e-54	1.706792596844e-60	2.817954363148e-66
2.600000000000e-02	5.555635935172e-08	7.278090133585e-14	1.546127776021e-20	1.746691803291e-27	1.947135862483e-34	2.846603461580e-41	5.697739544423e-48	2.927162819170e-54	2.237784801063e-60	3.692513807724e-66
2.700000000000e-02	6.512648633697e-08	8.864854407696e-14	1.933943596800e-20	2.225168215169e-27	2.511357226267e-34	3.701065853794e-41	7.444071580077e-48	3.833910645555e-54	2.933195869810e-60	4.837332153863e-66
2.800000000000e-02	7.629089082566e-08	1.079098308182e-13	2.417757354791e-20	2.833404375437e-27	3.237751292119e-34	4.810265913367e-41	9.722489772243e-48	5.020074824536e-54	3.843695589752e-60	6.335564239228e-66
2.900000000000e-02	8.930564108918e-08	1.312760929136e-13	3.021009633449e-20	3.606229981131e-27	4.172546956027e-34	6.249622572450e-41	1.269414503942e-47	6.571302968664e-54	5.035493986480e-60	8.295838657392e-66
3.000000000000e-02	1.044663130189e-07	1.596046353273e-13	3.772784463975e-20	4.587725515156e-27	5.375040428369e-34	8.116726797981e-41	1.656869960090e-47	8.599355196306e-54	6.595084335704e-60	1.086002697134e-65
3.100000000000e-02	1.221138180759e-07	1.939280294412e-13	4.709148302937e-20	5.833652822121e-27	6.921257268201e-34	1.053781328222e-40	2.161884056434e-47	1.125002226031e-53	8.635426678478e-60	1.421337188344e-65
3.200000000000e-02	1.426410482782e-07	2.354891463673e-13	5.874801919925e-20	7.414517246903e-27	8.908631706565e-34	1.367610740407e-40	2.819910859944e-47	1.471343152793e-53	1.130400716595e-59	1.859768738129e-65
3.300000000000e-02	1.665004462026e-07	2.857830276812e-13	7.325117177746e-20	9.419423579594e-27	1.146198333167e-33	1.774258683410e-40	3.677031651213e-47	1.923745690903e-53	1.479333945547e-59	2.432855841475e-65
3.400000000000e-02	1.942126212760e-07	3.466068945110e-13	9.128646977354e-20	1.196092924331e-26	1.474114761295e-33	2.300985112610e-40	4.793120673406e-47	2.514516237181e-53	1.935464443511e-59	3.181774644926e-65
3.500000000000e-02	2.263761484279e-07	4.201198367814e-13	1.137021655339e-19	1.518114968714e-26	1.895071379388e-33	2.982999022379e-40	6.245948006846e-47	3.285748554383e-53	2.531566542193e-59	4.160236943728e-65
3.600000000000e-02	2.636787016230e-07	5.089140085925e-13	1.415472863558e-19	1.925943536508e-26	2.435244691206e-33	3.865759627166e-40	8.136495209446e-47	4.292272673460e-53	3.310386276619e-59	5.438289519224e-65
3.700000000000e-02	3.069096930501e-07	6.160994907333e-13	1.761184469824e-19	2.442202017949e-26	3.128112710200e-33	5.007938813126e-40	1.059583991380e-46	5.605487366973e-53	4.327660407013e-59	7.107259803488e-65
3.800000000000e-02	3.569746089921e-07	7.454053760100e-13	2.190174077166e-19	3.095414180678e-26	4.016473774242e-33	6.485233460889e-40	1.379406950701e-46	7.318339449294e-53	5.656044934932e-59	9.286192164357e-65
3.900000000000e-02	4.149112558255e-07	9.013000976909e-13	2.722218050145e-19	3.921525983202e-26	5.155018560171e-33	8.395269620644e-40	1.795181808285e-46	9.551791148790e-53	7.390225725768e-59	1.213022203486e-64
4.000000000000e-02	4.819081544056e-07	1.089134567921e-12	3.381720203139e-19	4.965815422020e-26	6.613605503083e-33	1.086390889258e-39	2.335519372263e-46	1.246321775784e-52	9.653565146984e-59	1.584146867148e-64
4.100000000000e-02	5.593253485079e-07	1.315312335416e-12	4.198778093037e-19	6.285288195062e-26	8.481430228298e-33	1.405335490558e-39	3.037508598687e-46	1.625730842502e-52	1.260674404801e-58	2.068320058706e-64
4.200000000000e-02	6.487179232404e-07	1.587491726399e-12	5.210491130412e-19	7.951681307813e-26	1.087233077094e-32	1.817256982632e-39	3.949213062641e-46	2.120021199397e-52	1.645899506210e-58	2.699825241245e-64
4.300000000000e-02	7.518625626910e-07	1.914825818489e-12	6.462564447147e-19	1.005522707744e-25	1.393153512884e-32	2.349065417081e-39	5.132897837772e-46	2.763788842520e-52	2.148270031095e-58	3.523296330002e-64
4.400000000000e-02	8.707875127756e-07	2.308247136158e-12	8.011274282930e-19	1.270936775714e-25	1.784423965021e-32	3.035402650706e-39	6.669199097093e-46	3.601990902154e-52	2.803235604757e-58	4.596828466806e-64
